                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70906,                 2.2528,                 1.1387,                0.83993,                 0.7146,                0.83589,                0.75432,                0.43334,                 2.3184,                0.95589,              5.831e-05,              5.831e-05,              5.831e-05
                      2,                0.61497,                 1.8739,                 1.0922,                0.69631,                0.70847,                 0.8364,                 0.7475,                0.48296,                 1.9229,                0.99866,             0.00011876,             0.00011876,             0.00011876
                      3,                0.76613,                 1.8797,                 1.2529,                0.73912,                0.74766,                0.85448,                0.75461,                0.51994,                  1.851,                 1.0251,             0.00017262,             0.00017262,             0.00017262
                      4,                0.62897,                 1.6742,                 1.0975,                0.73071,                0.77773,                0.84627,                  0.759,                0.44941,                 1.9721,                 0.9718,             0.00021988,             0.00021988,             0.00021988
                      5,                0.63767,                 1.5238,                 1.0673,                 0.8333,                0.76978,                0.86272,                0.76471,                0.46986,                 1.8885,                0.96169,             0.00026055,             0.00026055,             0.00026055
                      6,                0.62629,                 1.4044,                 1.0597,                 0.7463,                0.88799,                0.89121,                0.79993,                0.42335,                 1.6118,                0.94562,             0.00029461,             0.00029461,             0.00029461
                      7,                0.65028,                 1.3305,                 1.0832,                0.88344,                0.85363,                0.93791,                0.83618,                0.45236,                 1.5339,                 0.9644,             0.00032208,             0.00032208,             0.00032208
                      8,                 0.6249,                 1.5252,                 1.0642,                0.76847,                0.82685,                0.90983,                0.79725,                0.48712,                 1.6267,                0.99055,             0.00034295,             0.00034295,             0.00034295
                      9,                0.64162,                 1.4558,                 1.1001,                0.86244,                 0.7207,                0.90857,                0.77905,                0.50876,                 1.5956,                 1.0121,             0.00035722,             0.00035722,             0.00035722
                     10,                0.56597,                 1.1366,                 1.0408,                0.82311,                0.85104,                0.90637,                0.79586,                0.47933,                 1.5413,                0.99416,              0.0003649,              0.0003649,              0.0003649
                     11,                0.51127,                 1.7137,                 1.0326,                0.86909,                0.79222,                0.88828,                0.74534,                0.56778,                 2.0306,                 1.1025,             0.00036598,             0.00036598,             0.00036598
                     12,                0.50182,                 1.8006,                 1.0332,                0.76591,                 0.8652,                0.90051,                0.75251,                0.57217,                 1.8629,                 1.0891,             0.00036046,             0.00036046,             0.00036046
                     13,                0.48404,                 1.6978,                 1.0037,                0.88836,                0.87061,                0.94362,                0.81884,                 0.4891,                 1.5175,                 1.0119,              0.0003382,              0.0003382,              0.0003382
                     14,                0.48044,                  1.459,                0.98149,                 0.9405,                0.91441,                0.96351,                0.86409,                0.46051,                 1.2842,                0.97358,             0.00029696,             0.00029696,             0.00029696
                     15,                0.45091,                 1.3459,                0.98581,                0.93468,                0.93208,                0.97332,                 0.8772,                0.46031,                 1.3063,                0.98692,             0.00025573,             0.00025573,             0.00025573
                     16,                0.41607,                 1.3659,                 0.9149,                0.95928,                0.96303,                0.98508,                 0.8807,                0.43262,                 1.2676,                0.96679,              0.0002145,              0.0002145,              0.0002145
                     17,                0.41203,                 1.3908,                0.96008,                0.97519,                0.98042,                0.99307,                0.90329,                0.40997,                 1.1705,                0.94716,             0.00017326,             0.00017326,             0.00017326
                     18,                 0.4107,                 1.3753,                0.91607,                0.98048,                0.99493,                  0.995,                0.91021,                0.39497,                 1.1342,                0.92253,             0.00013203,             0.00013203,             0.00013203
                     19,                 0.4452,                 1.3156,                0.96921,                0.98188,                0.99862,                  0.995,                0.92893,                0.36459,                 1.0882,                 0.8972,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                0.38373,                 1.3221,                0.89363,                0.98416,                0.99833,                  0.995,                0.93905,                0.34546,                 1.0452,                0.88492,             4.9564e-05,             4.9564e-05,             4.9564e-05
